supplier_id;contact_detail_id;supplier_name;description;created_by;created_date
8;9;'THAI HOUGHTON 1993 CO.LTD';NULL;'system';'2014-12-22 03:25:45.481146+00'
32769;65537;'Basf South East Asia Pte Ltd';NULL;'system';'2014-12-24 07:22:20.443728+00'
